prdt_type,brand,milestone,cust_segment,target_group,campaign_month,selected_qty,mailed_count,response_count,response_sales_amt
Prdt-1,B,15 Months,ClubReminder15,Targeted,5,592,592,77,7246.91
Prdt-1,B,15 Months,ClubReminder15Control,Control,5,66,66,8,1150.89
Prdt-1,B,18 Months,CLClubInvite18,Targeted,5,320,320,20,3661.61
Prdt-1,B,18 Months,CLClubInvite18Control,Control,5,35,35,2,751.91
Prdt-1,B,18 Months,CLRecall18,Targeted,5,740,740,29,5266.28
Prdt-1,B,18 Months,CLRecall18Control,Control,5,82,82,5,813.22
Prdt-1,B,18 Months,CLRecallTXandCA18,Targeted,5,61,61,3,580.99
Prdt-1,B,18 Months,CLRecallTXandCA18Control,Control,5,7,7,0,0.0
Prdt-1,B,18 Months,ClubReminder18,Targeted,5,252,252,25,2505.72
Prdt-1,B,18 Months,ClubReminder18Control,Control,5,28,28,4,520.51
Prdt-1,B,21 Months,CLClubInvite21,Targeted,5,411,411,19,4441.98
Prdt-1,B,21 Months,CLClubInvite21Control,Control,5,46,46,0,0.0
Prdt-1,B,21 Months,CLRecall21,Targeted,5,976,976,30,7345.32
Prdt-1,B,21 Months,CLRecall21Control,Control,5,108,108,1,77.78
Prdt-1,B,21 Months,CLRecallTXandCA21,Targeted,5,91,91,1,120.0
Prdt-1,B,21 Months,CLRecallTXandCA21Control,Control,5,10,10,2,190.98
Prdt-1,B,21 Months,ClubReminder21,Targeted,5,293,293,19,2171.71
Prdt-1,B,21 Months,ClubReminder21Control,Control,5,33,33,3,110.67
Prdt-1,B,24 Months,CLClubInvite24,Targeted,5,412,412,18,5600.28
Prdt-1,B,24 Months,CLClubInvite24Control,Control,5,46,46,3,612.21
Prdt-1,B,24 Months,CLRecall24,Targeted,5,1026,1026,34,8344.2
Prdt-1,B,24 Months,CLRecall24Control,Control,5,114,114,4,401.23
Prdt-1,B,24 Months,CLRecallTXandCA24,Targeted,5,96,96,5,1032.43
Prdt-1,B,24 Months,CLRecallTXandCA24Control,Control,5,11,11,0,0.0
Prdt-1,B,24 Months,ClubReminder24,Targeted,5,293,293,19,2753.94
Prdt-1,B,24 Months,ClubReminder24Control,Control,5,33,33,0,0.0
Prdt-1,B,24 Months,ClubReminder27,Targeted,5,284,284,13,1881.19
Prdt-1,B,24 Months,ClubReminder27Control,Control,5,31,31,1,0.0
Prdt-1,B,12 Months,NVIPC634-Recall-CG,Control,10,1059,72,7,1476.08
Prdt-1,B,12 Months,NVIPC634-Recall-TG,Targeted,10,9597,791,84,18153.47
Prdt-1,B,12 Months,NVIPC635-Recall-CG,Control,10,2517,189,13,2898.14
Prdt-1,B,12 Months,NVIPC635-Recall-TG,Targeted,10,22692,1706,147,28556.75
Prdt-1,B,12 Months,NVIPC636-Recall-CG,Control,10,192,29,2,379.94
Prdt-1,B,12 Months,NVIPC636-Recall-TG,Targeted,10,2652,191,10,2426.08
Prdt-1,B,12 Months,NVIPC637-Recall-CG,Control,10,670,83,10,1699.59
Prdt-1,B,12 Months,NVIPC637-Recall-TG,Targeted,10,6066,631,78,8313.88
Prdt-1,B,15 Months,NVIPC634-Recall-CG,Control,10,353,89,8,1763.79
Prdt-1,B,15 Months,NVIPC634-Recall-TG,Targeted,10,6398,729,48,12833.0
Prdt-1,B,15 Months,NVIPC635-Recall-CG,Control,10,839,181,13,2943.91
Prdt-1,B,15 Months,NVIPC635-Recall-TG,Targeted,10,7564,1725,106,23313.13
Prdt-1,B,15 Months,NVIPC636-Recall-CG,Control,10,96,20,3,692.19
Prdt-1,B,15 Months,NVIPC636-Recall-TG,Targeted,10,884,224,8,1839.84
Prdt-1,B,15 Months,NVIPC637-Recall-CG,Control,10,335,62,3,389.94
Prdt-1,B,15 Months,NVIPC637-Recall-TG,Targeted,10,3033,669,67,10282.31
Prdt-1,B,18 Months,NVIPC634-Recall-CG,Control,10,353,63,5,1196.7
Prdt-1,B,18 Months,NVIPC634-Recall-TG,Targeted,10,3199,558,30,6895.7
Prdt-1,B,18 Months,NVIPC635-Recall-CG,Control,10,839,167,6,1324.6
Prdt-1,B,18 Months,NVIPC635-Recall-TG,Targeted,10,7564,1432,58,12161.43
Prdt-1,B,18 Months,NVIPC636-Recall-CG,Control,10,96,13,0,0.0
Prdt-1,B,18 Months,NVIPC636-Recall-TG,Targeted,10,884,163,1,78.0
Prdt-1,B,18 Months,NVIPC637-Recall-CG,Control,10,335,57,4,345.11
Prdt-1,B,18 Months,NVIPC637-Recall-TG,Targeted,10,3033,540,48,5728.43
Prdt-1,B,21 Months,NVIPC634-Recall-CG,Control,10,353,82,4,614.46
Prdt-1,B,21 Months,NVIPC634-Recall-TG,Targeted,10,3199,697,36,8617.73
Prdt-1,B,21 Months,NVIPC635-Recall-CG,Control,10,839,185,4,1447.8
Prdt-1,B,21 Months,NVIPC635-Recall-TG,Targeted,10,7564,1647,32,5625.5
Prdt-1,B,21 Months,NVIPC636-Recall-CG,Control,10,96,26,2,84.0
Prdt-1,B,21 Months,NVIPC636-Recall-TG,Targeted,10,884,178,7,1081.06
Prdt-1,B,21 Months,NVIPC637-Recall-CG,Control,10,335,77,4,251.96
Prdt-1,B,21 Months,NVIPC637-Recall-TG,Targeted,10,3033,601,52,5283.55
Prdt-1,B,24 Months,NVIPC634-Recall-CG,Control,10,353,47,1,347.98
Prdt-1,B,24 Months,NVIPC634-Recall-TG,Targeted,10,6398,411,15,4818.19
Prdt-1,B,24 Months,NVIPC635-Recall-CG,Control,10,839,117,3,153.91
Prdt-1,B,24 Months,NVIPC635-Recall-TG,Targeted,10,22692,1041,27,5511.14
Prdt-1,B,24 Months,NVIPC636-Recall-CG,Control,10,96,8,0,0.0
Prdt-1,B,24 Months,NVIPC636-Recall-TG,Targeted,10,884,115,3,1074.88
Prdt-1,B,24 Months,NVIPC637-Recall-CG,Control,10,670,56,5,299.98
Prdt-1,B,24 Months,NVIPC637-Recall-TG,Targeted,10,6066,579,37,2720.58
Prdt-1,B,12 Months,NVIPC634-CL Invite,Control,9,1005,91,9,2504.37
Prdt-1,B,12 Months,NVIPC634-CL Invite,Targeted,9,12120,839,114,30566.68
Prdt-1,B,12 Months,NVIPC635-CL Recall,Control,9,3308,205,23,4421.3
Prdt-1,B,12 Months,NVIPC635-CL Recall,Targeted,9,29836,1892,229,52088.49
Prdt-1,B,12 Months,NVIPC636-CL Recall,Control,9,312,34,4,925.25
Prdt-1,B,12 Months,NVIPC636-CL Recall,Targeted,9,2874,283,30,7226.53
Prdt-1,B,12 Months,NVIPC637-CL Recall,Control,9,948,87,14,2638.42
Prdt-1,B,12 Months,NVIPC637-CL Recall,Targeted,9,8589,796,148,20442.77
Prdt-1,B,15 Months,NVIPC634-CL Invite,Control,9,335,91,6,795.62
Prdt-1,B,15 Months,NVIPC634-CL Invite,Targeted,9,3030,653,33,6733.66
Prdt-1,B,15 Months,NVIPC635-CL Recall,Control,9,827,173,3,437.74
Prdt-1,B,15 Months,NVIPC635-CL Recall,Targeted,9,7459,1664,51,10084.81
Prdt-1,B,15 Months,NVIPC636-CL Recall,Control,9,104,22,0,0.0
Prdt-1,B,15 Months,NVIPC636-CL Recall,Targeted,9,958,198,6,831.32
Prdt-1,B,15 Months,NVIPC637-CL Recall,Control,9,316,72,3,273.95
Prdt-1,B,15 Months,NVIPC637-CL Recall,Targeted,9,2863,591,64,6867.68
Prdt-1,B,18 Months,NVIPC634-CL Invite,Control,9,335,59,2,169.2
Prdt-1,B,18 Months,NVIPC634-CL Invite,Targeted,9,3030,547,22,5529.71
Prdt-1,B,18 Months,NVIPC635-CL Recall,Control,9,827,164,1,77.78
Prdt-1,B,18 Months,NVIPC635-CL Recall,Targeted,9,7459,1451,34,5893.0
Prdt-1,B,18 Months,NVIPC636-CL Recall,Control,9,104,15,1,129.0
Prdt-1,B,18 Months,NVIPC636-CL Recall,Targeted,9,958,191,3,355.23
Prdt-1,B,18 Months,NVIPC637-CL Recall,Control,9,316,59,5,410.15
Prdt-1,B,18 Months,NVIPC637-CL Recall,Targeted,9,2863,496,37,4347.23
Prdt-1,B,21 Months,NVIPC634-CL Invite,Control,9,335,55,1,198.98
Prdt-1,B,21 Months,NVIPC634-CL Invite,Targeted,9,3030,562,20,5605.06
Prdt-1,B,21 Months,NVIPC635-CL Recall,Control,9,827,154,5,550.28
Prdt-1,B,21 Months,NVIPC635-CL Recall,Targeted,9,7459,1312,26,6021.56
Prdt-1,B,21 Months,NVIPC636-CL Recall,Control,9,104,17,1,72.9
Prdt-1,B,21 Months,NVIPC636-CL Recall,Targeted,9,958,154,1,257.43
Prdt-1,B,21 Months,NVIPC637-CL Recall,Control,9,316,39,0,0.0
Prdt-1,B,21 Months,NVIPC637-CL Recall,Targeted,9,2863,386,27,2254.21
Prdt-1,B,24 Months,NVIPC634-CL Invite,Control,9,335,39,2,408.38
Prdt-1,B,24 Months,NVIPC634-CL Invite,Targeted,9,3030,415,14,2806.01
Prdt-1,B,24 Months,NVIPC635-CL Recall,Control,9,827,131,3,537.33
Prdt-1,B,24 Months,NVIPC635-CL Recall,Targeted,9,7459,1126,24,5629.9
Prdt-1,B,24 Months,NVIPC636-CL Recall,Control,9,104,16,0,0.0
Prdt-1,B,24 Months,NVIPC636-CL Recall,Targeted,9,958,118,1,283.96
Prdt-1,B,24 Months,NVIPC637-CL Recall,Control,9,632,59,3,304.05
Prdt-1,B,24 Months,NVIPC637-CL Recall,Targeted,9,5726,580,32,4199.53
Prdt-1,C,12 Months,Recall12CLExamOnly,Targeted,3,406,406,39,9203.06
Prdt-1,C,12 Months,Recall12CLExamOnlyControl,Control,3,45,45,2,856.96
Prdt-1,C,15 Months,Recall15CLExamOnly,Targeted,3,257,257,17,3506.16
Prdt-1,C,15 Months,Recall15CLExamOnlyControl,Control,3,29,29,0,0.0
Prdt-1,C,18 Months,Recall18CLExamOnly,Targeted,3,352,352,10,2259.79
Prdt-1,C,18 Months,Recall18CLExamOnlyControl,Control,3,39,39,2,458.96
Prdt-1,C,21 Months,Recall21CLExamOnly,Targeted,3,301,301,6,1040.56
Prdt-1,C,21 Months,Recall21CLExamOnlyControl,Control,3,33,33,4,530.25
Prdt-1,C,24 Months,Recall24CLExamOnly,Targeted,3,302,302,10,2561.55
Prdt-1,C,24 Months,Recall24CLExamOnlyControl,Control,3,33,33,2,524.98
Prdt-1,C,27 Months,Recall27CLExamOnly,Targeted,3,223,223,3,676.67
Prdt-1,C,27 Months,Recall27CLExamOnlyControl,Control,3,25,25,0,0.0
Prdt-1,C,12 Months,NVIPC764-Recall-CG,Control,11,1502,74,8,1752.42
Prdt-1,C,12 Months,NVIPC764-Recall-TG,Targeted,11,13535,662,85,18395.8
Prdt-1,C,15 Months,NVIPC764-Recall-CG,Control,11,1502,36,3,531.9
Prdt-1,C,15 Months,NVIPC764-Recall-TG,Targeted,11,13535,335,15,2436.33
Prdt-1,C,18 Months,NVIPC764-Recall-CG,Control,11,1502,39,0,0.0
Prdt-1,C,18 Months,NVIPC764-Recall-TG,Targeted,11,13535,427,22,5854.04
Prdt-1,C,21 Months,NVIPC764-Recall-CG,Control,11,1502,59,4,814.97
Prdt-1,C,21 Months,NVIPC764-Recall-TG,Targeted,11,13535,455,9,3057.04
Prdt-1,C,12 Months,NVIPC764-Recall-CG,Control,0,1403,53,7,1585.9
Prdt-1,C,12 Months,NVIPC764-Recall-TG,Targeted,0,12651,549,60,13865.46
Prdt-1,C,15 Months,NVIPC764-Recall-CG,Control,0,1403,31,3,515.3
Prdt-1,C,15 Months,NVIPC764-Recall-TG,Targeted,0,12651,304,22,4445.02
Prdt-1,C,18 Months,NVIPC764-Recall-CG,Control,0,1403,49,1,458.46
Prdt-1,C,18 Months,NVIPC764-Recall-TG,Targeted,0,12651,451,17,3739.34
Prdt-1,C,21 Months,NVIPC764-Recall-CG,Control,0,1403,45,0,0.0
Prdt-1,C,21 Months,NVIPC764-Recall-TG,Targeted,0,12651,395,17,3770.61
Prdt-1,C,12 Months,Recall12CLExamOnly,Targeted,6,503,503,57,14096.59
Prdt-1,C,12 Months,Recall12CLExamOnlyControl,Control,6,56,56,4,1106.16
Prdt-1,C,15 Months,Recall15CLExamOnly,Targeted,6,368,368,26,5663.98
Prdt-1,C,15 Months,Recall15CLExamOnlyControl,Control,6,41,41,5,1065.48
Prdt-1,C,18 Months,Recall18CLExamOnly,Targeted,6,247,247,12,2992.04
Prdt-1,C,18 Months,Recall18CLExamOnlyControl,Control,6,27,27,0,0.0
Prdt-1,C,21 Months,Recall21CLExamOnly,Targeted,6,340,340,17,4269.7
